Paso 0:
x	Temperatura
0.510204	21.2409
0.530612	18.3032
0.55102	11.8581
0.571429	5.91434
0.591837	2.32634
0.612245	0.736755
0.632653	0.191033
0.653061	0.0410834
0.673469	0.00740064
0.693878	0.00112467
0.714286	0.000144889
0.734694	1.58677e-05
0.755102	1.47849e-06
0.77551	1.17075e-07
0.795918	7.85348e-09
0.816327	4.43803e-10
0.836735	2.09496e-11
0.857143	8.16035e-13
0.877551	2.57756e-14
0.897959	6.43688e-16
0.918367	1.2232e-17
0.938776	1.6621e-19
0.959184	1.43858e-21
0.979592	5.95979e-24
1	0
-------------------------
Paso 24:
x	Temperatura
0	0
0.0204082	4.76982e-25
0.0408163	1.2014e-22
0.0612245	1.45111e-20
0.0816327	1.11869e-18
0.102041	6.18038e-17
0.122449	2.60454e-15
0.142857	8.70113e-14
0.163265	2.36414e-12
0.183673	5.31805e-11
0.204082	1.00298e-09
0.22449	1.60018e-08
0.244898	2.17293e-07
0.265306	2.52115e-06
0.285714	2.50421e-05
0.306122	0.000212978
0.326531	0.00154854
0.346939	0.0095941
0.367347	0.0503886
0.387755	0.222708
0.408163	0.820299
0.428571	2.48628
0.44898	6.10288
0.469388	11.8982
0.489796	18.0225
0.510204	20.7707
0.530612	18.0225
0.55102	11.8982
0.571429	6.10288
0.591837	2.48628
0.612245	0.820299
0.632653	0.222708
0.653061	0.0503886
0.673469	0.0095941
0.693878	0.00154854
0.714286	0.000212978
0.734694	2.50421e-05
0.755102	2.52115e-06
0.77551	2.17293e-07
0.795918	1.60018e-08
0.816327	1.00298e-09
0.836735	5.31805e-11
0.857143	2.36414e-12
0.877551	8.70113e-14
0.897959	2.60454e-15
0.918367	6.18038e-17
0.938776	1.11869e-18
0.959184	1.45111e-20
0.979592	1.2014e-22
1	0
-------------------------
Paso 25:
x	Temperatura
0	0
0.0204082	1.00158e-23
0.0408163	1.26232e-21
0.0612245	1.0173e-19
0.0816327	5.88715e-18
0.102041	2.60451e-16
0.122449	9.1564e-15
0.142857	2.62502e-13
0.163265	6.2489e-12
0.183673	1.25129e-10
0.204082	2.12737e-09
0.22449	3.09114e-08
0.244898	3.85568e-07
0.265306	4.13919e-06
0.285714	3.82808e-05
0.306122	0.000304826
0.326531	0.00208556
0.346939	0.0122151
0.367347	0.060915
0.387755	0.256744
0.408163	0.905805
0.428571	2.64239
0.44898	6.27726
0.469388	11.9246
0.489796	17.7523
0.510204	20.3308
0.530612	17.7523
0.55102	11.9246
0.571429	6.27726
0.591837	2.64239
0.612245	0.905805
0.632653	0.256744
