x,T=1,T=10,T=50,T=100,T=150,T=200,T=250,T=300
12.2222,1.26297e-05,0.214787,0.522282,0.58382,0.605913,0.617273,0.624192,0.628848
12.2823,1.2677e-05,0.2148,0.52206,0.583535,0.605605,0.616953,0.623864,0.628515
12.3423,1.2718e-05,0.214692,0.521524,0.582896,0.604928,0.616256,0.623155,0.627798
12.4024,1.27531e-05,0.214506,0.520793,0.582038,0.604024,0.615327,0.622212,0.626844
12.4625,1.27824e-05,0.214286,0.519994,0.581106,0.603043,0.614321,0.62119,0.625812
12.5225,1.28061e-05,0.214076,0.519251,0.580242,0.602134,0.61339,0.620244,0.624857
12.5826,1.28244e-05,0.213917,0.518677,0.579573,0.60143,0.612668,0.619511,0.624116
12.6426,1.28376e-05,0.213838,0.51836,0.5792,0.601036,0.612263,0.6191,0.623701
12.7027,1.28454e-05,0.213859,0.518357,0.579189,0.601022,0.612247,0.619082,0.623682
12.7628,1.28481e-05,0.213988,0.51869,0.579563,0.601411,0.612644,0.619484,0.624087
12.8228,1.28452e-05,0.214217,0.51934,0.580304,0.602184,0.613434,0.620285,0.624895
12.8829,1.28366e-05,0.214526,0.520253,0.581347,0.603276,0.61455,0.621416,0.626036
12.9429,1.2822e-05,0.214883,0.521338,0.582592,0.604579,0.615883,0.622767,0.6274
13.003,1.28009e-05,0.215246,0.52248,0.583907,0.605956,0.617293,0.624197,0.628843
13.0631,1.27729e-05,0.215567,0.523544,0.585138,0.607248,0.618617,0.62554,0.630199
13.1231,1.27377e-05,0.215796,0.52439,0.586125,0.608288,0.619684,0.626624,0.631294
13.1832,1.26949e-05,0.215884,0.524882,0.586716,0.608915,0.620329,0.627281,0.631959
13.2432,1.26443e-05,0.215791,0.524902,0.586773,0.608987,0.620409,0.627366,0.632047
13.3033,1.25857e-05,0.215484,0.524357,0.586193,0.608395,0.619811,0.626764,0.631443
13.3634,1.25193e-05,0.214944,0.523191,0.584911,0.607072,0.618467,0.625407,0.630077
13.4234,1.24452e-05,0.214165,0.521388,0.582908,0.604997,0.616356,0.623273,0.627928
13.4835,1.23638e-05,0.213159,0.518975,0.580215,0.602203,0.61351,0.620396,0.62503
13.5435,1.22756e-05,0.211951,0.51602,0.576908,0.59877,0.610012,0.616858,0.621466
13.6036,1.21813e-05,0.210579,0.51263,0.573109,0.594823,0.605989,0.61279,0.617366
13.6637,1.20817e-05,0.209092,0.508937,0.568968,0.590521,0.601604,0.608354,0.612896
13.7237,1.19775e-05,0.207545,0.505096,0.56466,0.586046,0.597042,0.603739,0.608246
13.7838,1.18697e-05,0.205997,0.501265,0.560366,0.581585,0.592496,0.599141,0.603612
13.8438,1.17589e-05,0.204502,0.497599,0.556262,0.577323,0.588152,0.594748,0.599186
13.9039,1.16461e-05,0.203109,0.494233,0.5525,0.573419,0.584175,0.590726,0.595134
13.964,1.15319e-05,0.201856,0.491273,0.549202,0.569999,0.580693,0.587206,0.591589
14.024,1.14169e-05,0.200769,0.488788,0.546446,0.567146,0.577791,0.584273,0.588636
14.0841,1.13014e-05,0.199856,0.486804,0.54426,0.56489,0.575498,0.581958,0.586306
14.1441,1.11857e-05,0.19911,0.485301,0.542624,0.563207,0.57379,0.580236,0.584574
14.2042,1.10701e-05,0.19851,0.484216,0.541464,0.562022,0.572593,0.579031,0.583363
14.2643,1.09545e-05,0.19802,0.483448,0.540667,0.561215,0.571782,0.578217,0.582548
14.3243,1.0839e-05,0.197595,0.482867,0.540083,0.560632,0.571199,0.577636,0.581967
14.3844,1.07234e-05,0.197181,0.482326,0.539545,0.560097,0.570666,0.577103,0.581435
14.4444,1.06077e-05,0.196726,0.481671,0.538878,0.559427,0.569995,0.576432,0.580764
14.5045,1.04919e-05,0.196178,0.480757,0.537916,0.558449,0.56901,0.575442,0.579771
14.5646,1.0376e-05,0.195496,0.479461,0.536519,0.557018,0.56756,0.573982,0.578304
14.6246,1.02603e-05,0.194646,0.477691,0.534583,0.555023,0.565535,0.571939,0.576248
14.6847,1.0145e-05,0.193614,0.475398,0.53205,0.552404,0.562873,0.56925,0.573542
