t_index,z,Ex,Hy
30,79,2.93994e+11,-9.18931e+11
30,80,-3.18976e+11,9.8219e+11
30,81,3.36413e+11,-1.01791e+12
30,82,-3.42964e+11,1.01827e+12
30,83,3.36716e+11,-9.80142e+11
30,84,-3.17502e+11,9.05332e+11
30,85,2.86713e+11,-7.99401e+11
30,86,-2.46713e+11,6.69686e+11
30,87,2.0008e+11,-5.23167e+11
30,88,-1.48924e+11,3.64902e+11
30,89,9.45195e+10,-1.97546e+11
30,90,-3.7346e+10,2.21121e+10
30,91,-2.24439e+10,1.60278e+11
30,92,8.43045e+10,-3.4622e+11
30,93,-1.46556e+11,5.28227e+11
30,94,2.05904e+11,-6.94044e+11
30,95,-2.57453e+11,8.2757e+11
30,96,2.9531e+11,-9.11441e+11
30,97,-3.13707e+11,9.30774e+11
30,98,3.08397e+11,-8.77154e+11
30,99,-2.77945e+11,7.51717e+11
30,100,2.24516e+11,-5.66297e+11
30,101,-1.53864e+11,3.42114e+11
30,102,7.44624e+10,-1.06141e+11
30,103,4.06482e+09,-1.13982e+11
30,104,-7.27959e+10,2.95149e+11
30,105,1.25159e+11,-4.22726e+11
30,106,-1.57934e+11,4.92229e+11
30,107,1.71373e+11,-5.0844e+11
30,108,-1.68481e+11,4.82466e+11
30,109,1.53749e+11,-4.27821e+11
30,110,-1.31779e+11,3.56817e+11
30,111,1.06226e+11,-2.78333e+11
30,112,-7.93606e+10,1.97479e+11
30,113,5.2285e+10,-1.16953e+11
30,114,-2.56393e+10,3.93207e+10
30,115,4.4284e+08,3.0854e+10
30,116,2.13059e+10,-8.60118e+10
30,117,-3.65514e+10,1.16261e+11
30,118,4.17035e+10,-1.11588e+11
30,119,-3.36047e+10,6.48823e+10
30,120,1.06074e+10,2.52812e+10
30,121,2.66269e+10,-1.53135e+11
30,122,-7.4907e+10,3.06059e+11
30,123,1.28961e+11,-4.66702e+11
30,124,-1.82419e+11,6.16213e+11
30,125,2.29008e+11,-7.37599e+11
30,126,-2.63614e+11,8.18303e+11
30,127,2.82951e+11,-8.51479e+11
30,128,-2.85747e+11,8.35986e+11
30,129,2.72538e+11,-7.75477e+11
30,130,-2.4525e+11,6.77102e+11
30,131,2.06752e+11,-5.5023e+11
30,132,-1.60444e+11,4.05298e+11
30,133,1.09906e+11,-2.52748e+11
30,134,-5.85417e+10,1.01914e+11
30,135,9.19529e+09,4.0087e+10
30,136,3.6212e+10,-1.69266e+11
30,137,-7.69315e+10,2.85119e+11
30,138,1.13386e+11,-3.90124e+11
30,139,-1.46836e+11,4.88282e+11
30,140,1.78738e+11,-5.82954e+11
30,141,-2.09929e+11,6.74581e+11
30,142,2.39905e+11,-7.591e+11
30,143,-2.66468e+11,8.27797e+11
30,144,2.8597e+11,-8.68987e+11
30,145,-2.94194e+11,8.7129e+11
30,146,2.87679e+11,-8.27613e+11
30,147,-2.65076e+11,7.38486e+11
30,148,2.28052e+11,-6.13465e+11
30,149,-1.81341e+11,4.69848e+11
30,150,1.31827e+11,-3.28871e+11
30,151,-8.69038e+10,2.10532e+11
30,152,5.26237e+10,-1.28694e+11
30,153,-3.22455e+10,8.80591e+10
30,154,2.56502e+10,-8.39138e+10
30,155,-2.97567e+10,1.04499e+11
30,156,3.97129e+10,-1.3496e+11
30,157,-5.03736e+10,1.61353e+11
30,158,5.75275e+10,-1.73356e+11
30,159,-5.84912e+10,1.64985e+11
30,160,5.19875e+10,-1.33508e+11
30,161,-3.75239e+10,7.75034e+10
30,162,1.4684e+10,4.73741e+09
30,163,1.72463e+10,-1.15445e+11
30,164,-5.90737e+10,2.55964e+11
30,165,1.10949e+11,-4.24213e+11
30,166,-1.71397e+11,6.12215e+11
30,167,2.36603e+11,-8.05022e+11
30,168,-3.00391e+11,9.81983e+11
30,169,3.55087e+11,-1.12041e+12
30,170,-3.93119e+11,1.2007e+12
30,171,4.08878e+11,-1.21137e+12
30,172,-4.00241e+11,1.15229e+12
30,173,3.69229e+11,-1.03501e+12
30,174,-3.21588e+11,8.80145e+11
30,175,2.65429e+11,-7.12625e+11
30,176,-2.0938e+11,5.56246e+11
30,177,1.60781e+11,-4.29114e+11
30,178,-1.2442e+11,3.41006e+11
30,179,1.02032e+11,-2.9305e+11
30,180,-9.25919e+10,2.79436e+11
30,181,9.31838e+10,-2.90432e+11
30,182,-1.00157e+11,3.15746e+11
30,183,1.10238e+11,-3.47401e+11
30,184,-1.21344e+11,3.81482e+11
30,185,1.32941e+11,-4.18501e+11
30,186,-1.45927e+11,4.62487e+11
30,187,1.6213e+11,-5.1921e+11
30,188,-1.83615e+11,5.94122e+11
30,189,2.11994e+11,-6.90551e+11
30,190,-2.47899e+11,8.08477e+11
30,191,2.90694e+11,-9.43988e+11
30,192,-3.38404e+11,1.08933e+12
30,193,3.87826e+11,-1.23346e+12
30,194,-4.34778e+11,1.36303e+12
30,195,4.74513e+11,-1.46391e+12
30,196,-5.02316e+11,1.52321e+12
30,197,5.14257e+11,-1.53158e+12
30,198,-5.07983e+11,1.48529e+12
30,199,4.8333e+11,-1.38743e+12
40,0,-1.42969e+21,4.08103e+21
40,1,1.29263e+21,-3.64039e+21
40,2,-1.13521e+21,3.15582e+21
40,3,9.68874e+20,-2.66003e+21
40,4,-8.0408e+20,2.18078e+21
40,5,6.48954e+20,-1.73798e+21
40,6,-5.08652e+20,1.34268e+21
40,7,3.85371e+20,-9.98009e+20
