# z	 E	 H
#t = 0
14.6	0.0156847	0.0156112
14.7	0.00944311	0.00938772
14.8	0.00316422	0.00312717
14.9	-0.00312716	-0.00314572
15	-0.00940619	-0.00940619
15.1	-0.0156481	-0.0156295
15.2	-0.0218283	-0.0217912
15.3	-0.0279223	-0.0278669
15.4	-0.0339061	-0.0338326
15.5	-0.0397561	-0.0396647
15.6	-0.0454492	-0.0453404
15.7	-0.0509629	-0.0508371
15.8	-0.0562755	-0.0561331
15.9	-0.061366	-0.0612077
16	-0.0662144	-0.0660406
16.1	-0.0708014	-0.070613
16.2	-0.075109	-0.0749066
16.3	-0.0791201	-0.0789047
16.4	-0.0828191	-0.0825913
16.5	-0.0861911	-0.085952
16.6	-0.0892231	-0.0889735
16.7	-0.0919028	-0.0916438
16.8	-0.0942199	-0.0939525
16.9	-0.0961652	-0.0958903
17	-0.0977309	-0.0974498
17.1	-0.0989109	-0.0986246
17.2	-0.0997006	-0.0994103
17.3	-0.100097	-0.0998035
17.4	-0.100098	-0.099803
17.5	-0.0997041	-0.0994085
17.6	-0.0989167	-0.0986217
17.7	-0.097739	-0.0974457
17.8	-0.0961755	-0.0958852
17.9	-0.0942325	-0.0939462
18	-0.0919176	-0.0916364
18.1	-0.0892399	-0.088965
18.2	-0.08621	-0.0859425
18.3	-0.0828399	-0.0825809
18.4	-0.0791429	-0.0788933
18.5	-0.0751335	-0.0748943
18.6	-0.0708276	-0.0705998
18.7	-0.0662422	-0.0660267
18.8	-0.0613953	-0.061193
18.9	-0.0563062	-0.0561178
19	-0.0509948	-0.0508211
19.1	-0.0454822	-0.0453238
19.2	-0.0397901	-0.0396477
19.3	-0.033941	-0.0338151
19.4	-0.0279579	-0.0278491
19.5	-0.0218644	-0.0217731
19.6	-0.0155866	-0.015415
19.7	-0.00806918	-0.00722852
19.8	7.8063e-05	-0.000765558
19.9	-0.00159181	0


#t = 0.2
0	0	0.0201724
0.1	0.0130092	0.0203871
0.2	0.0239066	0.0249363
0.3	0.0308835	0.0308588
0.4	0.0368555	0.0367576
0.5	0.0426329	0.0425113
0.6	0.0482422	0.0480972
0.7	0.053661	0.0534934
0.8	0.058868	0.0586784
0.9	0.0638428	0.0636318
1	0.0685655	0.0683341
1.1	0.0730177	0.0727668
1.2	0.0771817	0.0769122
1.3	0.0810411	0.0807541
1.4	0.0845807	0.0842773
1.5	0.0877864	0.0874679
1.6	0.0906458	0.0903134
1.7	0.0931473	0.0928024
1.8	0.0952813	0.0949251
1.9	0.0970392	0.0966732
2	0.0984142	0.0980398
2.1	0.0994008	0.0990195
2.2	0.0999951	0.0996084
2.3	0.100195	0.0998041
2.4	0.0999989	0.099606
2.5	0.0994085	0.0990148
2.6	0.0984258	0.0980329
2.7	0.0970546	0.096664
2.8	0.0953004	0.0949136
2.9	0.09317	0.0927887
3	0.090672	0.0902976
3.1	0.0878161	0.0874501
3.2	0.0846137	0.0842575
3.3	0.0810773	0.0807324
3.4	0.077221	0.0768886
3.5	0.0730599	0.0727414
3.6	0.0686105	0.0683071
3.7	0.0638903	0.0636033
3.8	0.0589179	0.0586484
3.9	0.053713	0.0534621
