# Tiempo: 0.000000
# k	zE	zH	Ex	Hy
160	160.0000000000	160.5000000000	-0.0587785252	-0.0612907054
161	161.0000000000	161.5000000000	-0.0637423990	-0.0661311865
162	162.0000000000	162.5000000000	-0.0684547106	-0.0707106781
163	163.0000000000	163.5000000000	-0.0728968627	-0.0750111070
164	164.0000000000	164.5000000000	-0.0770513243	-0.0790155012
165	165.0000000000	165.5000000000	-0.0809016994	-0.0827080574
166	166.0000000000	166.5000000000	-0.0844327926	-0.0860742027
167	167.0000000000	167.5000000000	-0.0876306680	-0.0891006524
168	168.0000000000	168.5000000000	-0.0904827052	-0.0917754626
169	169.0000000000	169.5000000000	-0.0929776486	-0.0940880769
170	170.0000000000	170.5000000000	-0.0951056516	-0.0960293686
171	171.0000000000	171.5000000000	-0.0968583161	-0.0975916762
172	172.0000000000	172.5000000000	-0.0982287251	-0.0987688341
173	173.0000000000	173.5000000000	-0.0992114701	-0.0995561965
174	174.0000000000	174.5000000000	-0.0998026728	-0.0999506560
175	175.0000000000	175.5000000000	-0.1000000000	-0.0999506560
176	176.0000000000	176.5000000000	-0.0998026728	-0.0995561965
177	177.0000000000	177.5000000000	-0.0992114701	-0.0987688341
178	178.0000000000	178.5000000000	-0.0982287251	-0.0975916762
179	179.0000000000	179.5000000000	-0.0968583161	-0.0960293686
180	180.0000000000	180.5000000000	-0.0951056516	-0.0940880769
181	181.0000000000	181.5000000000	-0.0929776486	-0.0917754626
182	182.0000000000	182.5000000000	-0.0904827052	-0.0891006524
183	183.0000000000	183.5000000000	-0.0876306680	-0.0860742027
184	184.0000000000	184.5000000000	-0.0844327926	-0.0827080574
185	185.0000000000	185.5000000000	-0.0809016994	-0.0790155012
186	186.0000000000	186.5000000000	-0.0770513243	-0.0750111070
187	187.0000000000	187.5000000000	-0.0728968627	-0.0707106781
188	188.0000000000	188.5000000000	-0.0684547106	-0.0661311865
189	189.0000000000	189.5000000000	-0.0637423990	-0.0612907054
190	190.0000000000	190.5000000000	-0.0587785252	-0.0562083378
191	191.0000000000	191.5000000000	-0.0535826795	-0.0509041416
192	192.0000000000	192.5000000000	-0.0481753674	-0.0453990500
193	193.0000000000	193.5000000000	-0.0425779292	-0.0397147891
194	194.0000000000	194.5000000000	-0.0368124553	-0.0338737920
195	195.0000000000	195.5000000000	-0.0309016994	-0.0278991106
196	196.0000000000	196.5000000000	-0.0248689887	-0.0218143241
197	197.0000000000	197.5000000000	-0.0187381315	-0.0156434465
198	198.0000000000	198.5000000000	-0.0125333234	-0.0094108313
199	199.0000000000	199.5000000000	-0.0062790520	-0.0031410759

# Tiempo: 2.500000
# k	zE	zH	Ex	Hy
0	0.0000000000	0.5000000000	0.0000000000	0.0000000000
1	1.0000000000	1.5000000000	-0.0060879039	0.0062205614
2	2.0000000000	2.5000000000	-0.0001018990	-0.0009813384
3	3.0000000000	3.5000000000	-0.0064357838	0.0047250791
4	4.0000000000	4.5000000000	-0.0003492837	0.0000402941
5	5.0000000000	5.5000000000	0.0012791256	0.0060233865
6	6.0000000000	6.5000000000	0.0076460292	0.0090243251
7	7.0000000000	7.5000000000	0.0133997045	0.0151329320
8	8.0000000000	8.5000000000	0.0197129005	0.0208538069
9	9.0000000000	9.5000000000	0.0259239767	0.0268353560
10	10.0000000000	10.5000000000	0.0320572582	0.0326988372
11	11.0000000000	11.5000000000	0.0380640244	0.0384455288
12	12.0000000000	12.5000000000	0.0439205693	0.0440404935
13	13.0000000000	13.5000000000	0.0496037798	0.0494616505
14	14.0000000000	14.5000000000	0.0550912268	0.0546876049
15	15.0000000000	15.5000000000	0.0603612539	0.0596977323
16	16.0000000000	16.5000000000	0.0653930627	0.0644722601
17	17.0000000000	17.5000000000	0.0701667949	0.0689923452
18	18.0000000000	18.5000000000	0.0746636109	0.0732401492
19	19.0000000000	19.5000000000	0.0788657637	0.0771989077
20	20.0000000000	20.5000000000	0.0827566694	0.0808529974
21	21.0000000000	21.5000000000	0.0863209723	0.0841879972
22	22.0000000000	22.5000000000	0.0895446058	0.0871907455
23	23.0000000000	23.5000000000	0.0924148476	0.0898493918
24	24.0000000000	24.5000000000	0.0949203703	0.0921534435
25	25.0000000000	25.5000000000	0.0970512856	0.0940938078
26	26.0000000000	26.5000000000	0.0987991838	0.0956628267
27	27.0000000000	27.5000000000	0.1001571668	0.0968543082
28	28.0000000000	28.5000000000	0.1011198752	0.0976635499
29	29.0000000000	29.5000000000	0.1016835096	0.0980873583
30	30.0000000000	30.5000000000	0.1018458457	0.0981240606
31	31.0000000000	31.5000000000	0.1016062428	0.0977735122
32	32.0000000000	32.5000000000	0.1009656464	0.0970370963
33	33.0000000000	33.5000000000	0.0999265848	0.0959177193
34	34.0000000000	34.5000000000	0.0984931586	0.0944197990
35	35.0000000000	35.5000000000	0.0966710248	0.0925492468
36	36.0000000000	36.5000000000	0.0944673748	0.0903134450
37	37.0000000000	37.5000000000	0.0918909051	0.0877212173
38	38.0000000000	38.5000000000	0.0889517840	0.0847827941
39	39.0000000000	39.5000000000	0.0856616109	0.0815097719
40	40.0000000000	40.5000000000	0.0820333705	0.0779150678
